Round,Model,Accuracy,AUC
轮次三,XGBoost,0.8402625820568927,0.8891175865212149
轮次三,RandomForest,0.8446389496717724,0.8957644338727673
轮次三,SVM,0.8391684901531729,0.8746353519424424
轮次三,KNN,0.8331509846827133,0.8494779245741453
轮次三,DecisionTree,0.7992341356673961,0.7317513475535113
