准确率,召回率,F1分数,假正率,假负率,AUC,fpr,tpr,轮次,模型,特征
0.8731,0.9296,0.9153,0.286,0.0704,0.9225,"[0.         0.00417537 0.00417537 0.0125261  0.01461378 0.01461378
 0.01461378 0.01461378 0.01461378 0.01461378 0.01670146 0.01670146
 0.02087683 0.02087683 0.02296451 0.02296451 0.02713987 0.03131524
 0.03131524 0.03340292 0.03340292 0.03757829 0.03757829 0.03966597
 0.03966597 0.04592902 0.0480167  0.05845511 0.05845511 0.0605428
 0.06263048 0.06263048 0.06889353 0.06889353 0.07098121 0.07098121
 0.07724426 0.07933194 0.07933194 0.08350731 0.08350731 0.08977035
 0.09185804 0.0960334  0.10647182 0.10647182 0.10647182 0.11482255
 0.11691023 0.12526096 0.12526096 0.12943633 0.13152401 0.13152401
 0.13778706 0.13987474 0.13987474 0.1440501  0.1440501  0.15031315
 0.16075157 0.16701461 0.17118998 0.17118998 0.17536534 0.18789144
 0.19832985 0.2045929  0.21503132 0.22129436 0.22546973 0.22546973
 0.23173278 0.23382046 0.24634656 0.2526096  0.26096033 0.27348643
 0.27557411 0.2776618  0.28601253 0.29853862 0.29853862 0.30271399
 0.31732777 0.3256785  0.32776618 0.33402923 0.33611691 0.33820459
 0.34655532 0.34655532 0.36325678 0.37787056 0.39248434 0.40292276
 0.41336117 0.41544885 0.42797495 0.434238   0.44885177 0.45093946
 0.45720251 0.46346555 0.4697286  0.48016701 0.48016701 0.48851775
 0.49060543 0.50313152 0.50939457 0.51356994 0.53444676 0.55532359
 0.56784969 0.56993737 0.58037578 0.58246347 0.58663883 0.59290188
 0.60125261 0.60334029 0.62212944 0.62212944 0.63465553 0.64926931
 0.65135699 0.66179541 0.66179541 0.66388309 0.6743215  0.6743215
 0.69102296 0.71189979 0.71607516 0.73277662 0.73277662 0.7348643
 0.75782881 0.75991649 0.782881   0.78914405 0.80793319 0.81002088
 0.83716075 0.83924843 0.86430063 0.87265136 0.8914405  0.9039666
 0.90605428 0.91649269 0.93319415 0.94363257 0.94363257 0.94780793
 0.94989562 0.95407098 0.96659708 0.97703549 0.97703549 0.97912317
 0.98329854 0.98538622 1.        ]","[0.         0.21497405 0.21942179 0.28169014 0.28243143 0.28317272
 0.31208302 0.31504818 0.36619718 0.36842105 0.40696812 0.40770941
 0.44848036 0.44922165 0.47961453 0.48109711 0.50111193 0.52705708
 0.55374351 0.57746479 0.57820608 0.60118606 0.60192735 0.62342476
 0.62416605 0.63973314 0.63973314 0.65752409 0.65900667 0.67531505
 0.67531505 0.67679763 0.69384729 0.69458858 0.71089696 0.71163825
 0.72794663 0.73980726 0.74054855 0.74796145 0.74870274 0.7590808
 0.77168273 0.78502595 0.79688658 0.80429948 0.80578206 0.81245367
 0.81245367 0.8176427  0.81838399 0.82653818 0.83469236 0.83543365
 0.84284655 0.85100074 0.85174203 0.86212009 0.86286138 0.86434396
 0.8687917  0.87101557 0.8762046  0.87694589 0.88139362 0.88732394
 0.89103039 0.89399555 0.89621942 0.90214974 0.90585619 0.90659748
 0.91326909 0.91326909 0.91623425 0.91697554 0.92438844 0.92587102
 0.92587102 0.92661231 0.92957746 0.93328391 0.93476649 0.93847294
 0.94069681 0.94440326 0.94440326 0.94662713 0.948851   0.948851
 0.95033358 0.95107487 0.95255745 0.95329874 0.95478132 0.9562639
 0.95922906 0.95922906 0.96145293 0.96441809 0.96590067 0.96590067
 0.96738325 0.96812454 0.96812454 0.96960712 0.97034841 0.97405486
 0.97405486 0.97405486 0.97479615 0.97479615 0.97850259 0.98146775
 0.98295033 0.98295033 0.9851742  0.9851742  0.9851742  0.9851742
 0.98665678 0.98665678 0.98739807 0.98813936 0.98888065 0.98888065
 0.98888065 0.98962194 0.99036323 0.99036323 0.99110452 0.99184581
 0.99332839 0.99406968 0.99406968 0.99481097 0.99555226 0.99555226
 0.99555226 0.99555226 0.99555226 0.99555226 0.99555226 0.99555226
 0.99555226 0.99555226 0.99555226 0.99555226 0.99629355 0.99777613
 0.99777613 0.99777613 0.99777613 0.99777613 0.99851742 0.99851742
 0.99851742 0.99851742 0.99925871 0.99925871 1.         1.
 1.         1.         1.        ]",轮次五,RandomForest,"文本特征: TF-IDF; 数值特征: 评论长度, 情感得分, 句子数, 平均句子长度; PCA: 否; RFE: 否"
0.849,0.8525,0.8929,0.1608,0.1475,0.9217,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.00208768 0.00208768
 0.00208768 0.00208768 0.00208768 0.00208768 0.00208768 0.00208768
 0.00208768 0.00208768 0.00208768 0.00208768 0.00208768 0.00208768
 0.00208768 0.00417537 0.00417537 0.00417537 0.00417537 0.00417537
 0.00626305 0.00626305 0.00626305 0.00626305 0.00626305 0.00626305
 0.00626305 0.00626305 0.00626305 0.00626305 0.00835073 0.00835073
 0.00835073 0.00835073 0.00835073 0.00835073 0.0125261  0.0125261
 0.0125261  0.0125261  0.0125261  0.0125261  0.0125261  0.0125261
 0.0125261  0.0125261  0.01461378 0.01461378 0.01670146 0.01670146
 0.01878914 0.01878914 0.01878914 0.01878914 0.01878914 0.01878914
 0.01878914 0.01878914 0.02087683 0.02087683 0.02087683 0.02087683
 0.02087683 0.02296451 0.02296451 0.02505219 0.02505219 0.02713987
 0.02713987 0.02713987 0.02713987 0.02922756 0.02922756 0.03131524
 0.03131524 0.03340292 0.03340292 0.03757829 0.03757829 0.04175365
 0.04175365 0.04384134 0.04384134 0.04592902 0.04592902 0.0480167
 0.0480167  0.05010438 0.05010438 0.05219207 0.05219207 0.05427975
 0.05427975 0.05636743 0.05636743 0.0605428  0.0605428  0.06263048
 0.06263048 0.06471816 0.06471816 0.06680585 0.06680585 0.07098121
 0.07098121 0.07306889 0.07306889 0.07515658 0.07515658 0.07933194
 0.07933194 0.08350731 0.08350731 0.08559499 0.08559499 0.08768267
 0.08768267 0.08977035 0.08977035 0.09185804 0.09185804 0.09394572
 0.09394572 0.0960334  0.0960334  0.10020877 0.10020877 0.10229645
 0.10229645 0.10438413 0.10438413 0.10647182 0.10647182 0.1085595
 0.1085595  0.11064718 0.11064718 0.11273486 0.11273486 0.11482255
 0.11482255 0.11691023 0.11691023 0.11899791 0.11899791 0.12108559
 0.12108559 0.12317328 0.12317328 0.12526096 0.12526096 0.12943633
 0.12943633 0.13152401 0.13152401 0.13361169 0.13361169 0.13569937
 0.13569937 0.13778706 0.13778706 0.13987474 0.13987474 0.14196242
 0.14196242 0.14613779 0.14613779 0.14822547 0.14822547 0.15031315
 0.15031315 0.15240084 0.15240084 0.15448852 0.15448852 0.15866388
 0.15866388 0.16075157 0.16075157 0.16283925 0.16283925 0.16492693
 0.16492693 0.16701461 0.16701461 0.17118998 0.17118998 0.17536534
 0.17536534 0.17745303 0.17745303 0.17954071 0.17954071 0.18162839
 0.18162839 0.18371608 0.18371608 0.18580376 0.18580376 0.18789144
 0.18789144 0.18997912 0.18997912 0.19206681 0.19206681 0.19415449
 0.19415449 0.19624217 0.19624217 0.20041754 0.20041754 0.2045929
 0.2045929  0.20668058 0.20668058 0.20876827 0.20876827 0.21085595
 0.21085595 0.217119   0.217119   0.21920668 0.21920668 0.22338205
 0.22755741 0.22755741 0.23173278 0.23173278 0.23382046 0.23382046
 0.23590814 0.23590814 0.24008351 0.24008351 0.24217119 0.24217119
 0.24425887 0.24425887 0.25052192 0.25052192 0.2526096  0.26096033
 0.2651357  0.2651357  0.27348643 0.27348643 0.27557411 0.27557411
 0.2776618  0.2776618  0.27974948 0.27974948 0.28392484 0.28392484
 0.28601253 0.28601253 0.29436326 0.29436326 0.3006263  0.3006263
 0.30480167 0.30480167 0.30897704 0.30897704 0.31524008 0.31524008
 0.32359081 0.32359081 0.3256785  0.3256785  0.32776618 0.32776618
 0.32985386 0.32985386 0.33402923 0.33402923 0.34029228 0.34029228
 0.34655532 0.34655532 0.34864301 0.34864301 0.35490605 0.35490605
 0.35908142 0.35908142 0.36325678 0.36325678 0.36743215 0.36743215
 0.3736952  0.3736952  0.37578288 0.37578288 0.37787056 0.37787056
 0.37995825 0.37995825 0.38204593 0.38204593 0.38413361 0.38413361
 0.39039666 0.39039666 0.39457203 0.39457203 0.4091858  0.4091858
 0.41544885 0.41544885 0.41962422 0.41962422 0.43632568 0.43632568
 0.45093946 0.45093946 0.45929019 0.45929019 0.46137787 0.46137787
 0.46555324 0.46555324 0.47181628 0.47181628 0.49060543 0.49060543
 0.50730689 0.50730689 0.53235908 0.53235908 0.54279749 0.54279749
 0.54488518 0.54488518 0.54906054 0.54906054 0.55323591 0.55323591
 0.57620042 0.57620042 0.59290188 0.59707724 0.59707724 0.59916493
 0.59916493 0.61795407 0.61795407 0.62212944 0.62212944 0.63674322
 0.63674322 0.64509395 0.64509395 0.65135699 0.65344468 0.67640919
 0.67640919 0.68058455 0.68058455 0.6868476  0.6868476  0.69519833
 0.69519833 0.71189979 0.71189979 0.71607516 0.71607516 0.74112735
 0.74112735 0.74947808 0.74947808 0.75574113 0.75574113 0.77453027
 0.77453027 0.78496868 0.78496868 0.78705637 0.78705637 0.79958246
 0.79958246 0.88517745 0.88517745 0.8914405  0.8914405  0.92484342
 0.92484342 0.95824635 0.95824635 0.99582463 0.99582463 1.        ]","[0.00000000e+00 7.41289844e-04 2.22386953e-03 5.18902891e-03
 1.48257969e-02 1.63083766e-02 1.92735360e-02 4.81838399e-02
 5.11489993e-02 5.48554485e-02 5.93031875e-02 6.89399555e-02
 7.04225352e-02 8.00593032e-02 8.74722016e-02 8.82134915e-02
 9.41438102e-02 1.07487027e-01 1.10452187e-01 1.11193477e-01
 1.13417346e-01 1.15641216e-01 1.15641216e-01 1.17123795e-01
 1.19347665e-01 1.27501853e-01 1.31208302e-01 1.41586360e-01
 1.43068940e-01 1.59377317e-01 1.61601186e-01 1.71979244e-01
 1.74203113e-01 1.75685693e-01 1.90511490e-01 1.92735360e-01
 2.08302446e-01 2.08302446e-01 2.09785026e-01 2.43143069e-01
 2.44625649e-01 2.73535953e-01 2.73535953e-01 2.87620460e-01
 2.89103039e-01 2.95033358e-01 2.97257228e-01 3.43217198e-01
 3.44699778e-01 3.69162342e-01 3.70644922e-01 3.88435878e-01
 3.88435878e-01 4.01779096e-01 4.05485545e-01 4.06968125e-01
 4.08450704e-01 4.11415864e-01 4.11415864e-01 4.13639733e-01
 4.15122313e-01 4.24759081e-01 4.29206820e-01 4.44773907e-01
 4.46256486e-01 4.55893254e-01 4.58858414e-01 4.68495182e-01
 4.68495182e-01 4.70719051e-01 4.70719051e-01 4.72201631e-01
 4.72201631e-01 4.73684211e-01 4.78131950e-01 4.92216457e-01
 4.93699036e-01 5.00370645e-01 5.01853225e-01 5.02594514e-01
 5.02594514e-01 5.05559674e-01 5.22609340e-01 5.23350630e-01
 5.24833210e-01 5.24833210e-01 5.26315789e-01 5.26315789e-01
 5.48554485e-01 5.48554485e-01 5.53743514e-01 5.55226093e-01
 5.58191253e-01 5.58191253e-01 5.67828021e-01 5.67828021e-01
 5.82653818e-01 5.82653818e-01 5.95997035e-01 5.95997035e-01
 6.13787991e-01 6.13787991e-01 6.39733136e-01 6.39733136e-01
 6.43439585e-01 6.43439585e-01 6.44922165e-01 6.44922165e-01
 6.59006672e-01 6.59006672e-01 6.67902150e-01 6.67902150e-01
 6.95329874e-01 6.95329874e-01 6.96071164e-01 6.96071164e-01
 6.98295033e-01 6.98295033e-01 7.07190511e-01 7.07190511e-01
 7.30911787e-01 7.30911787e-01 7.35359526e-01 7.35359526e-01
 7.36842105e-01 7.36842105e-01 7.43513714e-01 7.43513714e-01
 7.48702743e-01 7.48702743e-01 7.52409192e-01 7.52409192e-01
 7.54633062e-01 7.54633062e-01 7.59822090e-01 7.59822090e-01
 7.60563380e-01 7.60563380e-01 7.63528540e-01 7.63528540e-01
 7.64269830e-01 7.64269830e-01 7.68717569e-01 7.68717569e-01
 7.70200148e-01 7.70200148e-01 7.70941438e-01 7.70941438e-01
 7.75389177e-01 7.75389177e-01 7.76130467e-01 7.76130467e-01
 7.76871757e-01 7.76871757e-01 7.78354337e-01 7.78354337e-01
 7.82802076e-01 7.82802076e-01 7.85025945e-01 7.85025945e-01
 7.87991105e-01 7.87991105e-01 8.05040771e-01 8.05040771e-01
 8.11712380e-01 8.11712380e-01 8.15418829e-01 8.15418829e-01
 8.22831727e-01 8.22831727e-01 8.26538176e-01 8.26538176e-01
 8.29503336e-01 8.29503336e-01 8.31727205e-01 8.31727205e-01
 8.32468495e-01 8.32468495e-01 8.33951075e-01 8.33951075e-01
 8.34692365e-01 8.34692365e-01 8.38398814e-01 8.38398814e-01
 8.39881394e-01 8.39881394e-01 8.45070423e-01 8.45070423e-01
 8.46553002e-01 8.46553002e-01 8.48776872e-01 8.48776872e-01
 8.49518162e-01 8.49518162e-01 8.50259451e-01 8.50259451e-01
 8.51000741e-01 8.51000741e-01 8.51742031e-01 8.51742031e-01
 8.53224611e-01 8.53224611e-01 8.54707191e-01 8.54707191e-01
 8.56931060e-01 8.56931060e-01 8.58413640e-01 8.58413640e-01
 8.63602669e-01 8.63602669e-01 8.64343958e-01 8.64343958e-01
 8.65085248e-01 8.65085248e-01 8.66567828e-01 8.66567828e-01
 8.69532987e-01 8.69532987e-01 8.71756857e-01 8.71756857e-01
 8.72498147e-01 8.72498147e-01 8.73239437e-01 8.73239437e-01
 8.74722016e-01 8.74722016e-01 8.76204596e-01 8.76204596e-01
 8.77687176e-01 8.77687176e-01 8.79911045e-01 8.79911045e-01
 8.80652335e-01 8.80652335e-01 8.85841364e-01 8.85841364e-01
 8.89547813e-01 8.89547813e-01 8.91030393e-01 8.91030393e-01
 8.91771683e-01 8.91771683e-01 8.93995552e-01 8.93995552e-01
 8.94736842e-01 8.94736842e-01 8.94736842e-01 8.95478132e-01
 8.95478132e-01 8.96219422e-01 8.96219422e-01 8.96960712e-01
 8.96960712e-01 9.02149741e-01 9.02149741e-01 9.02891030e-01
 9.02891030e-01 9.04373610e-01 9.04373610e-01 9.05856190e-01
 9.05856190e-01 9.06597480e-01 9.06597480e-01 9.11045219e-01
 9.11045219e-01 9.11786509e-01 9.11786509e-01 9.14010378e-01
 9.14010378e-01 9.14751668e-01 9.14751668e-01 9.16234248e-01
 9.16234248e-01 9.18458117e-01 9.18458117e-01 9.19199407e-01
 9.19199407e-01 9.19940697e-01 9.19940697e-01 9.24388436e-01
 9.24388436e-01 9.28094885e-01 9.28094885e-01 9.28836175e-01
 9.28836175e-01 9.29577465e-01 9.29577465e-01 9.31801334e-01
 9.31801334e-01 9.34025204e-01 9.34025204e-01 9.34766494e-01
 9.34766494e-01 9.35507784e-01 9.35507784e-01 9.36990363e-01
 9.36990363e-01 9.39955523e-01 9.39955523e-01 9.42920682e-01
 9.42920682e-01 9.45144552e-01 9.45144552e-01 9.46627131e-01
 9.46627131e-01 9.47368421e-01 9.47368421e-01 9.48851001e-01
 9.48851001e-01 9.49592291e-01 9.49592291e-01 9.50333580e-01
 9.50333580e-01 9.51074870e-01 9.51074870e-01 9.52557450e-01
 9.52557450e-01 9.54040030e-01 9.54040030e-01 9.54781319e-01
 9.54781319e-01 9.56263899e-01 9.56263899e-01 9.57746479e-01
 9.57746479e-01 9.59229059e-01 9.59229059e-01 9.59970348e-01
 9.59970348e-01 9.60711638e-01 9.60711638e-01 9.62194218e-01
 9.62194218e-01 9.62935508e-01 9.62935508e-01 9.63676798e-01
 9.63676798e-01 9.64418087e-01 9.64418087e-01 9.65900667e-01
 9.65900667e-01 9.66641957e-01 9.66641957e-01 9.68124537e-01
 9.68124537e-01 9.69607116e-01 9.69607116e-01 9.70348406e-01
 9.70348406e-01 9.72572276e-01 9.72572276e-01 9.73313566e-01
 9.73313566e-01 9.74796145e-01 9.74796145e-01 9.76278725e-01
 9.76278725e-01 9.77020015e-01 9.77020015e-01 9.77761305e-01
 9.77761305e-01 9.78502595e-01 9.78502595e-01 9.78502595e-01
 9.79243884e-01 9.79243884e-01 9.79985174e-01 9.79985174e-01
 9.80726464e-01 9.80726464e-01 9.81467754e-01 9.81467754e-01
 9.82209044e-01 9.82209044e-01 9.83691623e-01 9.83691623e-01
 9.84432913e-01 9.84432913e-01 9.85174203e-01 9.85174203e-01
 9.85915493e-01 9.85915493e-01 9.86656783e-01 9.86656783e-01
 9.87398073e-01 9.87398073e-01 9.88139362e-01 9.88139362e-01
 9.89621942e-01 9.89621942e-01 9.90363232e-01 9.90363232e-01
 9.91104522e-01 9.91104522e-01 9.91845812e-01 9.91845812e-01
 9.92587102e-01 9.92587102e-01 9.93328391e-01 9.93328391e-01
 9.94069681e-01 9.94069681e-01 9.94810971e-01 9.94810971e-01
 9.95552261e-01 9.95552261e-01 9.96293551e-01 9.96293551e-01
 9.97776130e-01 9.97776130e-01 9.98517420e-01 9.98517420e-01
 1.00000000e+00 1.00000000e+00]",轮次五,SVM,"文本特征: TF-IDF; 数值特征: 评论长度, 情感得分, 句子数, 平均句子长度; PCA: 否; RFE: 否"
